Semana / Período,Seg (PADRÃO),Ter (PADRÃO),Qua (PADRÃO),Qui (PADRÃO),Sex (NOTURNO),Sáb (DIURNO),Sáb (NOTURNO),Dom (DIURNO),Dom (PADRÃO)
05 jan - 11 jan,D1,D2,D3,D4,D5,D1,D6,D3,D7
12 jan - 18 jan,D2,D3,D4,D5,D6,D2,D7,D4,D1
19 jan - 25 jan,D3,D4,D5,D6,D7,D3,D1,D5,D2
26 jan - 01 fev,D4,D5,D6,D7,D1,D4,D2,D6,D3
02 fev - 08 fev,D5,D6,D7,D1,D2,D5,D3,D7,D4
09 fev - 15 fev,D6,D7,D1,D2,D3,D6,D4,D1,D5
16 fev - 22 fev,D7,D1,D2,D3,D4,D7,D5,D2,D6
23 fev - 01 mar,D1,D2,D3,D4,D5,D1,D6,D3,D7
02 mar - 08 mar,D2,D3,D4,D5,D6,D2,D7,D4,D1
09 mar - 15 mar,D3,D4,D5,D6,D7,D3,D1,D5,D2
16 mar - 22 mar,D4,D5,D6,D7,D1,D4,D2,D6,D3
23 mar - 29 mar,D5,D6,D7,D1,D2,D5,D3,D7,D4
30 mar - 05 abr,D6,D7,D1,D2,D3,D6,D4,D1,D5
06 abr - 12 abr,D7,D1,D2,D3,D4,D7,D5,D2,D6
13 abr - 19 abr,D1,D2,D3,D4,D5,D1,D6,D3,D7
20 abr - 26 abr,D2,D3,D4,D5,D6,D2,D7,D4,D1
27 abr - 03 mai,D3,D4,D5,D6,D7,D3,D1,D5,D2
04 mai - 10 mai,D4,D5,D6,D7,D1,D4,D2,D6,D3
11 mai - 17 mai,D5,D6,D7,D1,D2,D5,D3,D7,D4
18 mai - 24 mai,D6,D7,D1,D2,D3,D6,D4,D1,D5
25 mai - 31 mai,D7,D1,D2,D3,D4,D7,D5,D2,D6
01 jun - 07 jun,D1,D2,D3,D4,D5,D1,D6,D3,D7
08 jun - 14 jun,D2,D3,D4,D5,D6,D2,D7,D4,D1
15 jun - 21 jun,D3,D4,D5,D6,D7,D3,D1,D5,D2
22 jun - 28 jun,D4,D5,D6,D7,D1,D4,D2,D6,D3
29 jun - 05 jul,D5,D6,D7,D1,D2,D5,D3,D7,D4
06 jul - 12 jul,D6,D7,D1,D2,D3,D6,D4,D1,D5
13 jul - 19 jul,D7,D1,D2,D3,D4,D7,D5,D2,D6
20 jul - 26 jul,D1,D2,D3,D4,D5,D1,D6,D3,D7
27 jul - 31 jul,D2,D3,D4,D5,D6,--,--,--,--
